Object,Close-Approach (CA) Date,CA Distance Nominal (LD | au),CA Distance Minimum (LD | au),V relative (km/s),V infinity (km/s),H (mag),Estimated Diameter,
(2008 HB38),1902-Sep-09 22:53ξαξξξξ00:02,6.26 | 0.01608,6.26 | 0.01608,9.54,9.53,21.2,150 m -  340 m,bK08H38B
310560 (2001 QL142),1902-Sep-12 04:33ξαξ< 00:01,17.94 | 0.04610,17.94 | 0.04610,20.41,20.4,17.8,730 m -  1.6 km,a0310560
(2001 GO2),1902-Sep-20 21:00ξαξ1_12:29,13.16 | 0.03381,11.13 | 0.02859,4.66,4.64,24.3,37 m -   82 m,bK01G02O
(2016 RQ1),1902-Sep-29 15:22ξαξξξξ00:17,16.49 | 0.04238,16.37 | 0.04206,5.51,5.5,24.8,29 m -   65 m,bK16R01Q
(2014 SU1),1902-Oct-13 01:02ξαξξξξ00:02,14.35 | 0.03688,14.31 | 0.03677,3.03,3,25.1,25 m -   57 m,bK14S01U
(2006 TL),1902-Oct-20 05:53ξαξ< 00:01,17.96 | 0.04615,17.95 | 0.04613,12.15,12.15,23.9,44 m -   99 m,bK06T00L
(1991 GO),1902-Oct-26 07:48ξαξ< 00:01,7.90 | 0.02029,7.89 | 0.02028,18.22,18.21,20,270 m -  590 m,bJ91G00O
(2005 UH5),1902-Oct-28 22:35ξαξ1_10:50,15.89 | 0.04084,15.26 | 0.03920,11.67,11.66,25.4,22 m -   49 m,bK05U05H
(2016 VP1),1902-Oct-29 18:06ξαξξξξ15:40,12.51 | 0.03215,5.10 | 0.01311,16.02,16.02,27.2,9.7 m -   22 m,bK16V01P
(2014 WQ202),1902-Nov-07 21:57ξαξξξξ06:31,10.47 | 0.02690,10.41 | 0.02675,18.66,18.65,23.8,46 m -  100 m,bK14WK2Q
(2014 WT202),1902-Nov-20 21:11ξαξ< 00:01,18.62 | 0.04785,18.56 | 0.04769,12.07,12.07,21.1,160 m -  360 m,bK14WK2T
(2016 YE),1902-Dec-17 21:58ξαξ1_13:14,13.15 | 0.03379,8.98 | 0.02309,4.71,4.69,25.9,18 m -   39 m,bK16Y00E
(2004 XL14),1902-Dec-18 09:36ξαξ< 00:01,17.62 | 0.04529,17.62 | 0.04529,13.05,13.05,21.2,150 m -  340 m,bK04X14L
418849 (2008 WM64),1902-Dec-23 04:44ξαξ< 00:01,17.37 | 0.04463,17.36 | 0.04462,17.66,17.66,20.7,190 m -  430 m,a0418849
(2011 YE40),1902-Dec-28 23:43ξαξξξξ01:54,9.94 | 0.02555,8.92 | 0.02292,12.71,12.7,25.2,24 m -   54 m,bK11Y40E
(2010 WZ8),1903-Jan-13 17:50ξαξξξξ08:45,3.66 | 0.00941,3.12 | 0.00801,7.22,7.18,20.7,190 m -  430 m,bK10W08Z
208023 (1999 AQ10),1903-Feb-18 08:16ξαξ< 00:01,4.29 | 0.01101,4.28 | 0.01100,7.67,7.64,20.4,220 m -  490 m,a0208023
(2016 FU12),1903-Feb-28 03:06ξαξξξξ06:56,14.29 | 0.03671,13.38 | 0.03438,4.23,4.22,26.9,11 m -   25 m,bK16F12U
(2009 DS43),1903-Mar-01 07:17ξαξξξξ06:49,5.49 | 0.01410,5.42 | 0.01392,20.42,20.41,25.8,18 m -   41 m,bK09D43S
(2015 SO2),1903-Apr-02 01:43ξαξξξξ00:04,17.17 | 0.04413,17.15 | 0.04406,6.04,6.03,23.9,44 m -   99 m,bK15S02O
(2008 HS3),1903-May-07 15:38ξαξξξξ00:11,16.49 | 0.04238,16.46 | 0.04229,5.37,5.36,21.7,120 m -  270 m,bK08H03S
(2001 CQ36),1903-May-30 23:30ξαξ< 00:01,5.87 | 0.01507,5.87 | 0.01507,5.29,5.25,22.5,84 m -  190 m,bK01C36Q
(2014 LK21),1903-Jun-12 02:53ξαξ2_01:06,16.48 | 0.04234,5.63 | 0.01446,4.7,4.69,25.9,18 m -   39 m,bK14L21K
(2002 LY1),1903-Jun-12 18:23ξαξ< 00:01,13.40 | 0.03443,13.37 | 0.03436,10.37,10.36,22.3,92 m -  210 m,bK02L01Y
(2004 FJ11),1903-Jun-15 23:37ξαξξξξ03:57,18.26 | 0.04692,18.22 | 0.04683,8.48,8.47,21,170 m -  380 m,bK04F11J
153958 (2002 AM31),1903-Jul-19 07:25ξαξξξξ00:01,18.88 | 0.04853,18.88 | 0.04851,10.15,10.14,18.3,580 m -  1.3 km,a0153958
212546 (2006 SV19),1903-Jul-27 10:51ξαξ< 00:01,12.14 | 0.03121,12.14 | 0.03120,8.05,8.04,17.7,770 m -  1.7 km,a0212546
(2009 BW2),1903-Aug-09 03:59ξαξξξξ06:17,6.94 | 0.01783,6.61 | 0.01699,4.63,4.6,25.1,25 m -   57 m,bK09B02W
(2016 DJ),1903-Aug-12 20:19ξαξ2_20:50,12.35 | 0.03172,11.24 | 0.02887,4.68,4.66,25.6,20 m -   45 m,bK16D00J
(2006 QQ23),1903-Aug-20 22:03ξαξξξξ08:46,16.67 | 0.04284,16.20 | 0.04162,4.92,4.91,20.1,250 m -  570 m,bK06Q23Q
482796 (2013 QJ10),1903-Aug-23 05:31ξαξξξξ00:05,18.67 | 0.04797,18.53 | 0.04762,14.74,14.73,19.5,330 m -  750 m,a0482796
(2003 QB30),1903-Aug-28 16:28ξαξξξξ03:38,16.16 | 0.04152,13.72 | 0.03525,10.74,10.73,26.8,12 m -   26 m,bK03Q30B
(2012 QG42),1903-Sep-14 18:16ξαξ< 00:01,8.55 | 0.02196,8.54 | 0.02195,10.9,10.89,20.9,180 m -  390 m,bK12Q42G
(2001 GO2),1903-Sep-19 07:21ξαξ1_02:49,11.09 | 0.02849,10.90 | 0.02802,5.16,5.14,24.3,37 m -   82 m,bK01G02O
138404 (2000 HA24),1903-Sep-25 08:44ξαξ< 00:01,18.00 | 0.04626,18.00 | 0.04624,9.93,9.93,19.1,400 m -  900 m,a0138404
(2007 WM3),1903-Nov-07 00:21ξαξξξξ03:37,9.49 | 0.02439,9.34 | 0.02401,11.79,11.78,23.1,64 m -  140 m,bK07W03M
68346 (2001 KZ66),1903-Nov-07 17:38ξαξ< 00:01,14.43 | 0.03707,14.43 | 0.03707,13.41,13.41,16.9,1.1 km -  2.5 km,a0068346
(2005 GL),1903-Nov-08 11:07ξαξξξξ04:01,11.37 | 0.02921,6.50 | 0.01671,13.42,13.41,21.2,150 m -  340 m,bK05G00L
(2014 WY4),1903-Nov-19 19:41ξαξξξξ03:25,18.63 | 0.04787,18.23 | 0.04683,9.03,9.03,24,42 m -   94 m,bK14W04Y
(2010 UK8),1903-Nov-30 05:17ξαξξξξ00:02,11.51 | 0.02959,11.50 | 0.02956,18.66,18.65,19.9,280 m -  620 m,bK10U08K
(2015 YU7),1903-Dec-10 02:38ξαξξξξ23:25,16.96 | 0.04357,1.02 | 0.00263,10.71,10.7,21.3,150 m -  330 m,bK15Y07U
(2006 UQ17),1903-Dec-11 02:39ξαξξξξ08:08,11.34 | 0.02915,10.77 | 0.02767,5.05,5.03,21.9,110 m -  250 m,bK06U17Q
(2015 FW284),1904-Jan-23 11:55ξαξξξξ03:51,15.70 | 0.04033,9.64 | 0.02478,15.79,15.79,24.7,31 m -   68 m,bK15FS4W
(2000 CN33),1904-Jan-27 22:43ξαξ1_06:24,18.58 | 0.04774,17.08 | 0.04389,12.32,12.32,19.2,380 m -  860 m,bK00C33N
(2017 CR1),1904-Feb-01 04:33ξαξξξξ14:16,12.10 | 0.03110,9.17 | 0.02356,5.31,5.29,27.8,7.3 m -   16 m,bK17C01R
27002 (1998 DV9),1904-Feb-04 07:21ξαξξξξ00:14,5.90 | 0.01516,5.86 | 0.01506,7.59,7.56,18.2,610 m -  1.4 km,a0027002
276033 (2002 AJ129),1904-Feb-06 05:52ξαξ< 00:01,8.01 | 0.02058,8.00 | 0.02057,35.31,35.31,18.7,480 m -  1.1 km,a0276033
(2016 NG33),1904-Feb-06 23:00ξαξξξξ00:07,15.83 | 0.04068,15.74 | 0.04044,16.03,16.03,21.5,130 m -  300 m,bK16N33G
(2008 AH33),1904-Feb-23 06:32ξαξ< 00:01,18.79 | 0.04828,18.79 | 0.04828,22.68,22.68,19.5,330 m -  750 m,bK08A33H
(2016 FU12),1904-Feb-28 19:32ξαξξξξ11:23,13.90 | 0.03571,13.56 | 0.03485,4.92,4.9,26.9,11 m -   25 m,bK16F12U
143487 (2003 CR20),1904-Mar-12 12:59ξαξ< 00:01,19.10 | 0.04909,19.10 | 0.04908,23.73,23.73,18.7,480 m -  1.1 km,a0143487
(2001 SQ3),1904-Mar-17 21:27ξαξ< 00:01,12.00 | 0.03083,12.00 | 0.03083,14.91,14.9,21.6,130 m -  280 m,bK01S03Q
354182 (2002 DU3),1904-Mar-19 21:50ξαξ< 00:01,7.53 | 0.01934,7.52 | 0.01933,7.94,7.92,20.7,190 m -  430 m,a0354182
(2009 KK),1904-May-26 15:03ξαξξξξ00:04,14.65 | 0.03765,14.60 | 0.03752,16.33,16.32,20.5,210 m -  470 m,bK09K00K
(2009 DL46),1904-May-26 20:31ξαξξξξ00:01,9.86 | 0.02533,9.85 | 0.02532,6.68,6.66,22,110 m -  240 m,bK09D46L
(2011 HP),1904-Jun-16 00:46ξαξ1_04:36,15.84 | 0.04070,14.29 | 0.03671,7.19,7.18,22.1,100 m -  230 m,bK11H00P
(2013 AT27),1904-Jun-29 15:42ξαξξξξ12:33,18.76 | 0.04821,15.81 | 0.04063,6.01,6,25.9,18 m -   39 m,bK13A27T
(2010 PK9),1904-Jul-26 08:07ξαξξξξ00:06,16.61 | 0.04269,16.53 | 0.04247,15.85,15.84,21.8,120 m -  260 m,bK10P09K
(2014 PG51),1904-Jul-26 22:11ξαξξξξ00:11,17.28 | 0.04440,17.19 | 0.04416,13.14,13.14,20.6,200 m -  450 m,bK14P51G
173561 (2000 YV137),1904-Aug-08 05:11ξαξ< 00:01,14.60 | 0.03752,14.59 | 0.03750,16.23,16.22,18.3,580 m -  1.3 km,a0173561
(2013 RZ73),1904-Sep-15 05:54ξαξξξξ00:06,13.48 | 0.03465,13.48 | 0.03464,20.84,20.84,20.9,180 m -  390 m,bK13R73Z
