Object Designation  ,Date (yyyy-mm-dd.dd),Distance (rEarth),Sigma Impact  ,Stretch LOV (rEarth),Sigma LOV  ,Impact Probability  ,Width (rEarth),Impact Energy (Mt),Palermo Scale  ,Torino Scale  ,
(2016 WN55),2034-09-12.29,123.48,0.84,9.81E+05,-0.55236,2.10E-09,1.46E+02,5.71E+03,-5.39,0,bK16W55N
(2010 AU118),2071-10-21.42,185.38,0.281,5.49E+06,-0.52687,1.20E-10,6.57E+02,9.01E+05,-5.39,0,bK10AB8U
(2016 WG),2076-06-23.30,0.32,0,8.76E+05,-1.37537,3.30E-07,4.03E-03,4.52E+01,-5.4,0,bK16W00G
(2017 GM7),2071-06-20.30,8.97,1.965,5.45E+04,-3.02981,2.10E-09,4.06E+00,2.39E+04,-5.4,0,bK17G07M
(2007 FT3),2058-10-03.68,45.26,0.95,6.32E+05,-0.60239,8.80E-09,4.66E+01,2.68E+03,-5.41,0,bK07F03T
(2010 JA43),2018-01-08.16,157.24,0.993,5.29E+05,-1.59462,1.00E-09,1.57E+02,2.62E+02,-5.41,0,bK10J43A
(2002 RB182),2104-10-10.80,0.13,0,1.35E+06,-0.08625,5.80E-07,1.27E-01,3.63E+01,-5.41,0,bK02RI2B
(2011 VG9),2112-11-03.54,0.37,0,3.51E+06,0.90552,1.40E-07,2.22E-02,2.33E+02,-5.42,0,bK11V09G
(2016 NL56),2036-08-17.87,19.32,2.012,6.04E+04,-0.91535,6.20E-08,9.11E+00,8.57E+01,-5.42,0,bK16N56L
(2015 BS516),2027-09-17.07,8.81,0.036,5.79E+05,-0.94452,2.50E-09,2.18E+02,2.12E+03,-5.43,0,bK15Bp6S
(2007 KO4),2060-11-23.26,61.67,2.112,3.79E+03,0.51234,4.00E-07,2.87E+01,2.25E+01,-5.43,0,bK07K04O
(2010 AU118),2094-10-21.22,183.7,0.339,5.24E+06,-0.52822,1.50E-10,5.38E+02,9.01E+05,-5.44,0,bK10AB8U
(2011 BT59),2091-04-12.08,4.41,1.946,4.46E+05,-1.39056,1.20E-08,1.75E+00,3.24E+03,-5.44,0,bK11B59T
(2004 ME6),2017-07-08.36,101.58,1.704,5.28E+05,-1.72777,8.20E-10,5.90E+01,7.24E+01,-5.45,0,bK04M06E
(2008 EX5),2072-10-08.89,0.45,0,1.70E+05,-1.57605,1.20E-06,1.63E-02,7.28E+00,-5.45,0,bK08E05X
(2002 RB182),2104-10-10.80,0.26,0,1.43E+06,-0.08642,5.20E-07,2.26E-01,3.63E+01,-5.46,0,bK02RI2B
(2015 RN35),2099-12-13.15,0.93,0,3.06E+05,0.00198,9.40E-07,9.47E-03,1.58E+01,-5.46,0,bK15R35N
(2015 ME131),2026-08-18.55,8.82,0.012,1.01E+06,0.73543,6.00E-10,6.39E+02,1.04E+04,-5.46,0,bK15MD1E
(2016 NL56),2028-09-12.00,129.33,0.191,1.45E+05,-0.21225,4.90E-09,6.72E+02,9.56E+02,-5.46,0,bK16N56L
(2007 FT3),2097-10-03.56,65.81,1.404,2.22E+05,-0.5998,1.50E-08,4.61E+01,2.68E+03,-5.47,0,bK07F03T
(2015 HV182),2018-02-26.39,144.78,0.822,4.29E+06,0.096,4.70E-10,1.75E+02,7.14E+02,-5.47,0,bK15HI2V
(2007 FT3),2056-10-02.88,62.86,1.298,4.22E+05,-0.90399,6.90E-09,4.77E+01,2.74E+03,-5.48,0,bK07F03T
(2016 WG),2076-06-23.31,0.35,0,2.66E+06,0.1363,2.80E-07,3.80E-03,4.50E+01,-5.48,0,bK16W00G
(2016 NL56),2065-08-22.03,9.39,1.863,8.91E+04,-0.7687,1.10E-07,4.50E+00,1.18E+02,-5.48,0,bK16N56L
(2007 KO4),2060-11-23.27,61.27,1.871,6.24E+03,0.51548,3.60E-07,3.22E+01,2.25E+01,-5.48,0,bK07K04O
(2002 RB182),2088-10-07.54,0.27,0,1.87E+06,-0.35597,3.80E-07,1.77E-01,3.77E+01,-5.49,0,bK02RI2B
(2010 MA113),2075-01-25.11,2.77,0.703,1.28E+05,1.83661,1.80E-07,2.51E+00,7.13E+01,-5.49,0,bK10MB3A
(2016 WN55),2058-09-12.77,23.46,0.162,7.52E+05,-0.53373,4.10E-09,1.38E+02,5.48E+03,-5.49,0,bK16W55N
101955 Bennu (1999 RQ36),2196-09-24.27,0.64,0,1.20E+04,3.822,6.10E-08,< 1.e-04,1.15E+03,-5.5,,a0101955
101955 Bennu (1999 RQ36),2193-09-24.63,0.66,0,7.38E+05,-2.519,6.00E-08,< 1.e-04,1.15E+03,-5.5,,a0101955
(2005 ED224),2064-03-10.38,0.59,0,1.23E+06,0.81899,3.70E-07,3.51E-02,2.18E+01,-5.51,0,bK05EM4D
(2008 UV99),2097-03-29.65,2.21,0.069,2.47E+06,0.50972,1.00E-08,1.75E+01,3.86E+03,-5.51,0,bK08U99V
(2014 NJ65),2022-01-07.37,122.78,0.049,2.57E+05,-0.53421,6.80E-10,2.47E+03,3.20E+03,-5.51,0,bK14N65J
(2015 ME131),2023-02-14.81,75.18,0.037,5.97E+05,0.75188,3.20E-10,2.01E+03,1.11E+04,-5.51,0,bK15MD1E
(2005 NX55),2019-01-06.07,36.31,0.378,2.30E+05,-2.33274,1.40E-09,9.35E+01,3.68E+02,-5.51,0,bK05N55X
(2008 PK9),2057-08-10.78,0.27,0,2.46E+05,2.27226,1.60E-07,7.56E-01,4.97E+01,-5.52,0,bK08P09K
(2016 WG),2115-06-25.06,0.88,0,2.98E+05,1.47002,4.30E-07,4.61E-03,4.48E+01,-5.52,0,bK16W00G
(2004 GE2),2106-05-03.08,0.22,0,9.54E+04,-3.16853,5.30E-08,3.66E-03,5.21E+02,-5.53,0,bK04G02E
(2007 FT3),2099-10-03.74,54,0.986,2.90E+05,-0.90743,1.30E-08,5.37E+01,2.74E+03,-5.53,0,bK07F03T
(2015 ME131),2035-08-18.72,29.2,0.043,5.86E+05,0.73001,1.00E-09,6.51E+02,1.03E+04,-5.53,0,bK15MD1E
(2015 ME131),2027-08-18.79,11.44,0.016,1.06E+06,0.73438,5.70E-10,6.40E+02,1.04E+04,-5.53,0,bK15MD1E
(2015 ME131),2026-02-14.50,71.44,0.081,9.57E+05,0.74308,4.60E-10,8.72E+02,1.09E+04,-5.53,0,bK15MD1E
(2013 WM),2105-11-20.29,0.5,0,1.52E+06,-0.41037,4.20E-07,2.15E-02,3.76E+01,-5.54,0,bK13W00M
(2016 WG),2076-06-22.98,0.77,0,2.09E+06,0.03044,2.40E-07,4.71E-03,4.50E+01,-5.54,0,bK16W00G
(2016 WN55),2046-09-12.65,51.24,0.336,1.05E+06,-0.53962,2.60E-09,1.49E+02,5.55E+03,-5.54,0,bK16W55N
(2007 FT3),2095-10-03.87,6.48,0.113,6.29E+05,-0.77999,1.20E-08,4.85E+01,2.72E+03,-5.55,0,bK07F03T
(2007 WP3),2105-11-12.31,0.04,0,5.90E+05,0.90522,9.00E-07,4.81E-03,1.43E+01,-5.55,0,bK07W03P
(2015 ME131),2029-02-14.26,173.22,0.188,6.99E+05,0.73867,5.90E-10,9.14E+02,1.09E+04,-5.55,0,bK15MD1E
